Time	DataPoints
0.00000	0.73754
0.25000	1.05485
0.50000	1.17482
0.75000	0.95748
1.00000	1.13122
1.25000	1.04517
1.50000	0.98075
1.75000	0.76230
2.00000	0.86553
2.25000	0.89949
2.50000	0.75621
2.75000	0.85052
3.00000	0.65496
3.25000	0.81950
3.50000	0.74987
3.75000	0.58311
4.00000	0.46703
4.25000	0.64760
4.50000	0.37263
4.75000	0.21494
5.00000	0.56932
5.25000	0.50129
5.50000	0.17595
5.75000	0.03149
6.00000	0.13042
6.25000	0.18925
6.50000	0.10566
6.75000	0.14923
7.00000	-0.15301
7.25000	-0.14258
7.50000	-0.16195
7.75000	-0.45345
8.00000	-0.38915
8.25000	-0.18881
8.50000	-0.23096
8.75000	-0.44065
9.00000	-0.21889
9.25000	-0.67220
9.50000	-0.63943
9.75000	-0.63421
10.00000	-0.54030
10.25000	-0.56403
10.50000	-0.46371
10.75000	-0.55360
11.00000	-0.25938
11.25000	-0.70287
11.50000	-0.57490
11.75000	-0.35426
12.00000	-0.62650
12.25000	-0.13662
12.50000	-0.50451
12.75000	-0.37432
13.00000	-0.39502
13.25000	-0.33715
13.50000	-0.15255
13.75000	-0.04581
14.00000	-0.20180
14.25000	0.16687
14.50000	0.02158
14.75000	-0.04395
15.00000	0.01491
15.25000	0.20908
15.50000	0.30222
15.75000	0.32975
16.00000	0.14421
16.25000	0.29512
16.50000	0.60603
16.75000	0.68670
17.00000	0.79211
17.25000	0.48440
17.50000	0.48332
17.75000	0.87354
18.00000	0.82663
18.25000	0.82919
18.50000	1.29214
18.75000	0.95671
19.00000	1.20205
19.25000	0.94121
19.50000	1.26959
19.75000	1.05935
20.00000	1.36824
20.25000	1.40448
20.50000	1.10009
20.75000	1.50130
21.00000	1.50960
21.25000	1.48091
21.50000	1.45354
21.75000	1.45859
22.00000	1.38125
22.25000	1.29847
22.50000	1.22941
22.75000	1.54423
23.00000	1.77059
23.25000	1.42955
23.50000	1.75468
23.75000	1.47105
24.00000	1.44692
24.25000	1.44378
24.50000	1.39755
24.75000	1.03173
25.00000	1.12616
25.25000	1.18618
25.50000	0.88325
25.75000	1.30492
26.00000	1.23150
26.25000	1.16863
26.50000	1.22197
26.75000	1.17019
27.00000	1.17824
27.25000	0.98076
27.50000	0.86158
27.75000	1.03236
28.00000	0.91642
28.25000	0.76402
28.50000	0.84927
28.75000	0.67606
29.00000	1.06790
29.25000	0.89808
29.50000	0.46547
29.75000	0.70526
30.00000	0.46204
30.25000	0.96933
30.50000	0.42364
30.75000	0.44130
31.00000	0.54472
31.25000	0.34291
31.50000	0.67855
31.75000	0.51453
32.00000	0.63526
32.25000	0.60113
32.50000	0.25117
32.75000	0.28800
33.00000	0.65541
33.25000	0.60039
33.50000	0.27422
33.75000	0.43519
34.00000	0.23730
34.25000	0.48697
34.50000	0.59284
34.75000	0.55784
35.00000	0.29629
35.25000	0.43010
35.50000	0.66324
35.75000	0.50301
36.00000	0.90462
36.25000	0.56873
36.50000	0.55660
36.75000	0.79435
37.00000	0.74138
37.25000	0.69441
37.50000	1.12723
37.75000	0.79479
38.00000	0.92789
38.25000	0.93789
38.50000	0.88978
38.75000	0.80673
39.00000	1.27617
39.25000	0.95449
39.50000	1.26933
39.75000	1.11343
40.00000	1.18907
40.25000	1.15127
40.50000	1.38769
40.75000	1.07479
41.00000	1.64852
41.25000	1.17992
41.50000	1.45564
41.75000	1.61649
42.00000	1.20857
42.25000	1.53435
42.50000	1.62542
42.75000	1.35994
43.00000	1.67679
43.25000	1.56969
43.50000	1.68064
43.75000	2.02334
44.00000	1.82649
44.25000	1.76678
44.50000	1.72595
44.75000	1.60149
45.00000	1.74289
45.25000	1.80023
45.50000	1.90638
45.75000	1.68708
46.00000	2.04270
46.25000	1.82640
46.50000	1.75689
46.75000	1.77334
47.00000	1.96999
47.25000	1.92017
47.50000	2.11456
47.75000	1.91657
48.00000	2.00480
48.25000	2.12871
48.50000	1.73482
48.75000	1.88516
49.00000	1.74464
49.25000	1.90513
49.50000	1.64295
49.75000	1.94861
50.00000	1.78103
50.25000	1.53155
50.50000	1.73284
50.75000	1.55421
51.00000	1.61020
51.25000	1.76591
51.50000	1.75220
51.75000	1.25796
52.00000	1.53568
52.25000	1.41577
52.50000	1.52012
52.75000	1.35957
53.00000	1.46239
53.25000	1.15201
53.50000	1.40393
53.75000	1.19558
54.00000	1.36126
54.25000	1.25269
54.50000	1.44271
54.75000	1.48715
55.00000	1.12062
55.25000	1.72330
55.50000	1.24721
55.75000	1.22400
56.00000	1.11612
56.25000	0.93859
56.50000	1.04962
56.75000	1.11954
57.00000	1.27334
57.25000	0.97894
57.50000	0.96001
57.75000	1.08745
58.00000	1.03556
58.25000	0.98029
58.50000	1.14553
58.75000	1.04815
59.00000	1.31533
59.25000	1.29510
59.50000	0.82681
59.75000	1.12763
60.00000	1.16943
60.25000	1.39213
60.50000	1.13261
60.75000	1.20370
61.00000	1.43661
61.25000	1.45920
61.50000	1.41234
61.75000	1.13723
62.00000	1.58190
62.25000	1.35113
62.50000	1.34702
62.75000	1.49846
63.00000	1.67424
63.25000	1.51913
63.50000	1.50459
63.75000	1.66258
64.00000	1.91053
64.25000	1.45253
64.50000	1.63806
64.75000	2.02989
65.00000	1.73699
65.25000	1.42089
65.50000	1.92200
65.75000	1.68981
66.00000	1.59179
66.25000	1.90270
66.50000	1.78690
66.75000	1.79480
67.00000	1.79724
67.25000	2.02283
67.50000	1.92375
67.75000	2.16713
68.00000	2.01333
68.25000	1.90300
68.50000	2.14742
68.75000	2.17060
69.00000	1.69923
69.25000	2.14511
69.50000	1.99915
69.75000	2.12330
70.00000	2.12936
70.25000	2.47204
70.50000	2.37366
70.75000	2.18662
71.00000	1.98838
71.25000	1.95575
71.50000	2.05080
71.75000	2.15162
72.00000	2.03246
72.25000	1.93969
72.50000	2.29638
72.75000	1.89176
73.00000	2.16138
73.25000	1.85866
73.50000	2.05488
73.75000	1.88590
74.00000	2.02279
74.25000	1.84844
74.50000	1.69618
74.75000	1.99114
75.00000	1.86626
75.25000	1.92478
75.50000	2.39228
75.75000	2.39953
76.00000	2.12264
76.25000	2.01649
76.50000	2.12341
76.75000	1.77831
77.00000	1.88546
77.25000	1.63087
77.50000	1.86103
77.75000	1.76955
78.00000	1.79642
78.25000	1.92162
78.50000	1.95507
78.75000	1.64064
79.00000	1.68990
79.25000	1.88782
79.50000	1.62437
79.75000	1.77660
80.00000	1.74547
80.25000	1.61261
80.50000	1.38841
80.75000	1.61147
81.00000	1.74472
81.25000	1.48591
81.50000	1.37651
81.75000	1.57663
82.00000	1.58530
82.25000	1.50725
82.50000	1.44362
82.75000	1.43119
83.00000	1.37705
83.25000	1.57477
83.50000	1.31126
83.75000	1.25861
84.00000	1.54089
84.25000	1.83976
84.50000	1.93191
84.75000	1.23260
85.00000	1.61531
85.25000	1.62259
85.50000	1.69337
85.75000	1.74547
86.00000	1.53385
86.25000	1.53932
86.50000	1.58974
86.75000	1.67209
87.00000	1.31901
87.25000	1.54104
87.50000	1.46498
87.75000	1.65060
88.00000	1.71824
88.25000	1.62884
88.50000	1.82851
88.75000	1.67841
89.00000	1.95521
89.25000	1.68816
89.50000	1.81345
89.75000	1.68323
90.00000	1.79525
90.25000	1.96378
90.50000	1.81205
90.75000	1.82239
91.00000	1.98292
91.25000	2.04423
91.50000	1.83551
91.75000	1.99221
92.00000	1.60712
92.25000	1.98091
92.50000	1.76494
92.75000	2.10859
93.00000	1.69255
93.25000	1.99833
93.50000	1.82443
93.75000	2.04581
94.00000	1.94213
94.25000	2.44938
94.50000	2.06522
94.75000	1.89476
95.00000	2.15226
95.25000	1.90900
95.50000	1.84633
95.75000	2.12790
96.00000	1.78481
96.25000	2.11039
96.50000	2.06057
96.75000	2.26535
97.00000	2.02244
97.25000	2.19926
97.50000	2.06379
97.75000	2.07186
98.00000	2.03133
98.25000	2.05730
98.50000	2.08701
98.75000	2.09608
99.00000	1.75410
99.25000	2.17202
99.50000	2.01185
99.75000	1.86082
100.00000	1.99986
100.25000	1.89178
100.50000	2.01341
100.75000	1.97366
101.00000	1.82765
101.25000	2.01040
101.50000	1.83439
101.75000	2.01495
102.00000	1.59373
102.25000	1.95089
102.50000	1.82655
102.75000	1.84010
103.00000	2.10965
103.25000	1.81917
103.50000	1.91261
103.75000	2.00013
104.00000	2.06014
104.25000	1.66568
104.50000	1.97391
104.75000	1.65222
105.00000	1.59923
105.25000	1.97145
105.50000	1.64709
105.75000	1.77685
106.00000	1.88306
106.25000	1.95912
106.50000	1.69712
106.75000	1.65735
107.00000	1.62471
107.25000	1.66934
107.50000	1.81998
107.75000	1.35777
108.00000	1.60630
108.25000	1.75520
108.50000	1.74489
108.75000	1.36832
109.00000	1.77551
109.25000	1.62468
109.50000	1.47100
109.75000	1.44780
110.00000	1.50944
110.25000	1.55583
110.50000	1.75508
110.75000	1.45809
111.00000	1.40532
111.25000	1.45516
111.50000	1.54945
111.75000	1.28569
112.00000	1.79052
112.25000	1.60682
112.50000	1.70294
112.75000	1.69201
113.00000	1.63253
113.25000	1.56578
113.50000	1.42057
113.75000	1.56463
114.00000	1.61582
114.25000	1.71643
114.50000	1.78779
114.75000	1.83156
115.00000	1.51163
115.25000	1.65405
115.50000	1.72575
115.75000	1.68789
116.00000	1.88131
116.25000	1.65633
116.50000	1.90316
116.75000	1.67257
117.00000	1.65052
117.25000	1.51530
117.50000	1.85818
117.75000	1.94871
118.00000	1.87736
118.25000	1.72264
118.50000	1.88283
118.75000	1.67110
119.00000	1.96582
119.25000	1.51489
119.50000	1.74283
119.75000	1.57240
120.00000	1.74305
120.25000	1.64603
120.50000	1.80176
120.75000	1.92239
121.00000	1.82987
121.25000	1.89253
121.50000	1.80445
121.75000	1.99012
122.00000	2.01015
122.25000	1.64089
122.50000	2.00179
122.75000	1.98248
123.00000	2.00802
123.25000	1.89802
123.50000	1.65764
123.75000	1.97873
124.00000	1.80986
124.25000	1.89360
124.50000	1.50508
124.75000	1.95653
125.00000	1.97080
125.25000	2.15879
125.50000	2.02412
125.75000	1.80438
126.00000	2.07010
126.25000	1.60716
126.50000	2.38636
126.75000	2.26204
127.00000	1.91791
127.25000	1.65371
127.50000	1.79819
127.75000	1.87546
128.00000	1.81352
128.25000	1.85714
128.50000	1.90087
128.75000	1.65630
129.00000	1.74026
129.25000	1.69736
129.50000	1.73117
129.75000	1.79197
130.00000	1.39069
130.25000	1.68308
130.50000	1.91743
130.75000	1.58326
131.00000	1.49106
131.25000	1.51820
131.50000	1.71467
131.75000	1.32724
132.00000	1.61765
132.25000	1.09080
132.50000	1.78919
132.75000	1.53865
133.00000	1.74248
